p,k,err_baseline
1000003,78499,0.20007539977380068
1000033,78500,0.20005639813886142
1000037,78501,0.2000685974618939
1000039,78502,0.20008319675532654
1000081,78503,0.20004979596652672
1000099,78504,0.20004519552564295
1000117,78505,0.2000405952503557
1000121,78506,0.20005279361197295
1000133,78507,0.20005539263277983
1000151,78508,0.2000507923303581
1000159,78509,0.20005819074767112
1000171,78510,0.20006078960497756
1000183,78511,0.20006338839992283
1000187,78512,0.20007558586544316
1000193,78513,0.20008538352098046
1000199,78514,0.20009518105896926
1000211,78515,0.20009777936855325
1000213,78516,0.2001123760638984
1000231,78517,0.20010777510395097
1000249,78518,0.2001031743095969
1000253,78519,0.20011537081118477
1000273,78520,0.20010737068780224
1000289,78521,0.20010516960598387
1000291,78522,0.20011976514834184
1000303,78523,0.20012236292403401
1000313,78524,0.20012736013627735
1000333,78525,0.2001203599201466
1000357,78526,0.20010856124363602
1000367,78527,0.20011355832409505
1000381,78528,0.20011375665871303
1000393,78529,0.2001163542727708
1000397,78530,0.20012854896606047
1000403,78531,0.20013834424726834
1000409,78532,0.20014813941098092
1000423,78533,0.20014833725334183
1000427,78534,0.20016053145306953
1000429,78535,0.20017512487143016
1000453,78536,0.20016332601331596
1000457,78537,0.20017551978745712
1000507,78538,0.20013253280586743
1000537,78539,0.20011353902954113
1000541,78540,0.20012573197899935
1000547,78541,0.20013552586735056
1000577,78542,0.2001155333372644
1000579,78543,0.20013012465782312
1000589,78544,0.2001351204140761
1000609,78545,0.20012812197371802
1000619,78546,0.20013311760020547
1000621,78547,0.20014770827316236
1000639,78548,0.20014310855363424
1000651,78549,0.20014570514594998
1000667,78550,0.20014350428264346
1000669,78551,0.2001580942349568
1000679,78552,0.20016308926239085
1000691,78553,0.2001656855113117
1000697,78554,0.20017547769204863
1000721,78555,0.2001636819852886
1000723,78556,0.20017827110998748
1000763,78557,0.20014728761954628
1000777,78558,0.20014748540384122
1000793,78559,0.2001452847891622
1000829,78560,0.20011910126505128
1000847,78561,0.2001145030159455
1000849,78562,0.2001290904022485
1000859,78563,0.20013308567940138
1000861,78564,0.200147672853673
1000889,78565,0.200131083466798
1000907,78566,0.20012648527785298
1000919,78567,0.2001290813742171
1000921,78568,0.20014366768206482
1000931,78569,0.20014866159605407
1000969,78570,0.20012008363895387
1000973,78571,0.2001322713000251
1000981,78572,0.2001396629906062
1000999,78573,0.20013506506999507
1001003,78574,0.20014725230593713
1001017,78575,0.20014745004330595
1001023,78576,0.20015723914435532
1001027,78577,0.20016942599949852
1001041,78578,0.2001696234220177
1001069,78579,0.20015303640408402
1001081,78580,0.20015563176206522
1001087,78581,0.20016542018825537
1001089,78582,0.20018000397567048
1001093,78583,0.2001921899363995
1001107,78584,0.20019238702756048
1001123,78585,0.2001891875423899
1001153,78586,0.2001702037550704
1001159,78587,0.20017999138997902
1001173,78588,0.20018018863872677
1001177,78589,0.20019237357630068
1001191,78590,0.2001925706483578
1001197,78591,0.20020235777774004
1001219,78592,0.20019296477593812
1001237,78593,0.20018836699003334
1001267,78594,0.2001693853887125
1001279,78595,0.200171980037532
1001291,78596,0.20017457462416022
1001303,78597,0.20017716914859937
1001311,78598,0.2001845580444038
