generation_time,p,q,replicate,seed,success,time_seconds,total_time,trials,unique_count
7.200241088867188e-05,29,31,0,42,True,3.5762786865234375e-06,7.557868957519531e-05,10,10
2.384185791015625e-05,29,31,1,43,True,1.6689300537109375e-06,2.5510787963867188e-05,10,10
1.5974044799804688e-05,29,31,2,44,True,1.9073486328125e-06,1.7881393432617188e-05,10,10
1.7881393432617188e-05,29,31,3,45,True,1.9073486328125e-06,1.9788742065429688e-05,10,10
1.4066696166992188e-05,29,31,4,46,True,1.6689300537109375e-06,1.5735626220703125e-05,10,10
1.4066696166992188e-05,29,31,5,47,True,1.9073486328125e-06,1.5974044799804688e-05,10,10
1.1444091796875e-05,29,31,6,48,True,1.6689300537109375e-06,1.3113021850585938e-05,10,10
1.0728836059570312e-05,29,31,7,49,True,1.430511474609375e-06,1.2159347534179688e-05,10,10
1.0728836059570312e-05,29,31,8,50,True,1.1920928955078125e-06,1.1920928955078125e-05,10,10
1.049041748046875e-05,29,31,9,51,True,1.1920928955078125e-06,1.1682510375976562e-05,10,10
1.1920928955078125e-05,29,31,10,52,True,1.430511474609375e-06,1.33514404296875e-05,10,10
1.239776611328125e-05,29,31,11,53,True,1.6689300537109375e-06,1.4066696166992188e-05,10,10
1.0728836059570312e-05,29,31,12,54,True,1.1920928955078125e-06,1.1920928955078125e-05,10,10
1.1444091796875e-05,29,31,13,55,True,1.1920928955078125e-06,1.2636184692382812e-05,10,10
1.049041748046875e-05,29,31,14,56,True,1.1920928955078125e-06,1.1682510375976562e-05,10,10
1.1444091796875e-05,29,31,15,57,True,1.1920928955078125e-06,1.2636184692382812e-05,10,10
1.0013580322265625e-05,29,31,16,58,True,1.1920928955078125e-06,1.1205673217773438e-05,10,10
9.775161743164062e-06,29,31,17,59,True,9.5367431640625e-07,1.0728836059570312e-05,10,10
1.0728836059570312e-05,29,31,18,60,True,1.430511474609375e-06,1.2159347534179688e-05,10,10
1.0013580322265625e-05,29,31,19,61,True,9.5367431640625e-07,1.0967254638671875e-05,10,10
1.0967254638671875e-05,29,31,20,62,True,1.430511474609375e-06,1.239776611328125e-05,10,10
1.0251998901367188e-05,29,31,21,63,True,1.430511474609375e-06,1.1682510375976562e-05,10,10
9.775161743164062e-06,29,31,22,64,True,1.1920928955078125e-06,1.0967254638671875e-05,10,10
1.049041748046875e-05,29,31,23,65,True,1.430511474609375e-06,1.1920928955078125e-05,10,10
1.0013580322265625e-05,29,31,24,66,True,1.1920928955078125e-06,1.1205673217773438e-05,10,10
1.0728836059570312e-05,29,31,25,67,True,1.430511474609375e-06,1.2159347534179688e-05,10,10
1.1920928955078125e-05,29,31,26,68,True,1.430511474609375e-06,1.33514404296875e-05,10,10
1.0251998901367188e-05,29,31,27,69,True,1.430511474609375e-06,1.1682510375976562e-05,10,10
1.0013580322265625e-05,29,31,28,70,True,9.5367431640625e-07,1.0967254638671875e-05,10,10
9.775161743164062e-06,29,31,29,71,True,1.430511474609375e-06,1.1205673217773438e-05,10,10
1.0728836059570312e-05,29,31,30,72,True,1.1920928955078125e-06,1.1920928955078125e-05,10,10
9.775161743164062e-06,29,31,31,73,True,1.430511474609375e-06,1.1205673217773438e-05,10,10
9.775161743164062e-06,29,31,32,74,True,1.1920928955078125e-06,1.0967254638671875e-05,10,10
1.0967254638671875e-05,29,31,33,75,True,1.1920928955078125e-06,1.2159347534179688e-05,10,10
1.0013580322265625e-05,29,31,34,76,True,9.5367431640625e-07,1.0967254638671875e-05,10,10
1.049041748046875e-05,29,31,35,77,True,7.62939453125e-06,1.811981201171875e-05,10,10
1.0728836059570312e-05,29,31,36,78,True,9.5367431640625e-07,1.1682510375976562e-05,10,10
1.0251998901367188e-05,29,31,37,79,True,1.1920928955078125e-06,1.1444091796875e-05,10,10
1.0013580322265625e-05,29,31,38,80,True,1.1920928955078125e-06,1.1205673217773438e-05,10,10
9.5367431640625e-06,29,31,39,81,True,1.430511474609375e-06,1.0967254638671875e-05,10,10
1.0967254638671875e-05,29,31,40,82,True,9.5367431640625e-07,1.1920928955078125e-05,10,10
1.0251998901367188e-05,29,31,41,83,True,9.5367431640625e-07,1.1205673217773438e-05,10,10
1.0251998901367188e-05,29,31,42,84,True,1.430511474609375e-06,1.1682510375976562e-05,10,10
1.0013580322265625e-05,29,31,43,85,True,1.1920928955078125e-06,1.1205673217773438e-05,10,10
9.775161743164062e-06,29,31,44,86,True,9.5367431640625e-07,1.0728836059570312e-05,10,10
1.049041748046875e-05,29,31,45,87,True,1.430511474609375e-06,1.1920928955078125e-05,10,10
1.0013580322265625e-05,29,31,46,88,True,1.1920928955078125e-06,1.1205673217773438e-05,10,10
9.298324584960938e-06,29,31,47,89,True,1.430511474609375e-06,1.0728836059570312e-05,10,10
9.298324584960938e-06,29,31,48,90,True,1.430511474609375e-06,1.0728836059570312e-05,10,10
9.5367431640625e-06,29,31,49,91,True,1.1920928955078125e-06,1.0728836059570312e-05,10,10
