generation_time,replicate,seed,success,time_seconds,total_time,trials,unique_count
0.00010442733764648438,0,42,False,5.245208740234375e-06,0.00010967254638671875,2,2
5.6743621826171875e-05,1,43,False,2.6226043701171875e-06,5.936622619628906e-05,2,2
4.935264587402344e-05,2,44,False,2.384185791015625e-06,5.173683166503906e-05,2,2
4.649162292480469e-05,3,45,False,1.9073486328125e-06,4.839897155761719e-05,2,2
4.696846008300781e-05,4,46,False,2.1457672119140625e-06,4.9114227294921875e-05,2,2
4.696846008300781e-05,5,47,False,1.9073486328125e-06,4.887580871582031e-05,2,2
4.863739013671875e-05,6,48,False,1.430511474609375e-06,5.0067901611328125e-05,2,2
4.458427429199219e-05,7,49,False,1.9073486328125e-06,4.649162292480469e-05,2,2
4.4345855712890625e-05,8,50,False,1.6689300537109375e-06,4.601478576660156e-05,2,2
4.410743713378906e-05,9,51,False,1.6689300537109375e-06,4.57763671875e-05,2,2
4.5299530029296875e-05,10,52,False,1.6689300537109375e-06,4.696846008300781e-05,2,2
4.57763671875e-05,11,53,False,1.6689300537109375e-06,4.744529724121094e-05,2,2
4.410743713378906e-05,12,54,False,5.9604644775390625e-06,5.0067901611328125e-05,2,2
4.553794860839844e-05,13,55,False,2.1457672119140625e-06,4.76837158203125e-05,2,2
6.318092346191406e-05,14,56,False,2.384185791015625e-06,6.556510925292969e-05,2,2
5.14984130859375e-05,15,57,False,5.245208740234375e-06,5.6743621826171875e-05,2,2
4.38690185546875e-05,16,58,False,1.9073486328125e-06,4.57763671875e-05,2,2
4.4345855712890625e-05,17,59,False,1.6689300537109375e-06,4.601478576660156e-05,2,2
4.363059997558594e-05,18,60,False,1.6689300537109375e-06,4.5299530029296875e-05,2,2
4.315376281738281e-05,19,61,False,1.430511474609375e-06,4.458427429199219e-05,2,2
4.482269287109375e-05,20,62,False,1.6689300537109375e-06,4.649162292480469e-05,2,2
4.363059997558594e-05,21,63,False,1.6689300537109375e-06,4.5299530029296875e-05,2,2
4.410743713378906e-05,22,64,False,1.6689300537109375e-06,4.57763671875e-05,2,2
4.3392181396484375e-05,23,65,False,1.6689300537109375e-06,4.506111145019531e-05,2,2
4.458427429199219e-05,24,66,False,1.6689300537109375e-06,4.6253204345703125e-05,2,2
4.57763671875e-05,25,67,False,1.430511474609375e-06,4.7206878662109375e-05,2,2
4.744529724121094e-05,26,68,False,1.6689300537109375e-06,4.9114227294921875e-05,2,2
4.458427429199219e-05,27,69,False,1.430511474609375e-06,4.601478576660156e-05,2,2
4.410743713378906e-05,28,70,False,1.6689300537109375e-06,4.57763671875e-05,2,2
4.458427429199219e-05,29,71,False,1.430511474609375e-06,4.601478576660156e-05,2,2
4.506111145019531e-05,30,72,False,1.430511474609375e-06,4.649162292480469e-05,2,2
4.4345855712890625e-05,31,73,False,1.1920928955078125e-06,4.553794860839844e-05,2,2
6.628036499023438e-05,32,74,False,7.62939453125e-06,7.390975952148438e-05,2,2
4.76837158203125e-05,33,75,False,1.6689300537109375e-06,4.935264587402344e-05,2,2
4.482269287109375e-05,34,76,False,1.6689300537109375e-06,4.649162292480469e-05,2,2
4.649162292480469e-05,35,77,False,1.9073486328125e-06,4.839897155761719e-05,2,2
4.601478576660156e-05,36,78,False,1.9073486328125e-06,4.792213439941406e-05,2,2
4.38690185546875e-05,37,79,False,1.6689300537109375e-06,4.553794860839844e-05,2,2
4.4345855712890625e-05,38,80,False,1.6689300537109375e-06,4.601478576660156e-05,2,2
4.38690185546875e-05,39,81,False,1.430511474609375e-06,4.5299530029296875e-05,2,2
4.458427429199219e-05,40,82,False,1.9073486328125e-06,4.649162292480469e-05,2,2
4.38690185546875e-05,41,83,False,1.9073486328125e-06,4.57763671875e-05,2,2
4.4345855712890625e-05,42,84,False,1.6689300537109375e-06,4.601478576660156e-05,2,2
4.38690185546875e-05,43,85,False,1.9073486328125e-06,4.57763671875e-05,2,2
4.410743713378906e-05,44,86,False,1.430511474609375e-06,4.553794860839844e-05,2,2
4.38690185546875e-05,45,87,False,1.430511474609375e-06,4.5299530029296875e-05,2,2
4.38690185546875e-05,46,88,False,1.430511474609375e-06,4.5299530029296875e-05,2,2
4.410743713378906e-05,47,89,False,1.1920928955078125e-06,4.5299530029296875e-05,2,2
4.38690185546875e-05,48,90,False,1.6689300537109375e-06,4.553794860839844e-05,2,2
6.270408630371094e-05,49,91,False,1.6689300537109375e-06,6.437301635742188e-05,2,2
